TitleID	Movie Title	Genres	Runtime	Adult	URL	DESCRIPTION
tt0053125	North by Northwest	Adventure, Mystery, Thriller	2h 16min	No	https://img.yts.lt/assets/images/movies/north_by_northwest_1959/large-cover.jpg	A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.
tt0093058	Full Metal Jacket	Drama, War	1h 56min	No	https://img.yts.lt/assets/images/movies/full_metal_jacket_1987/large-cover.jpg	A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
tt2106476	The Hunt	Drama	1h 55min	Yes	https://img.yts.lt/assets/images/movies/the_hunt_2012/large-cover.jpg	A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.
tt0066921	A Clockwork Orange	Crime, Drama, Sci-Fi	2h 16min	No	https://img.yts.lt/assets/images/movies/a_clockwork_orange_1971/large-cover.jpg	In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.
tt0208092	Snatch	Comedy, Crime	1h 44min	Yes	https://img.yts.lt/assets/images/movies/snatch_2000/large-cover.jpg	Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.
tt0211915	Amélie	Comedy, Romance	2h 2min	Yes	https://img.yts.lt/assets/images/movies/amélie_2001/large-cover.jpg	Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.
tt0012349	The Kid	Comedy, Drama, Family	1h 8min	No	https://img.yts.lt/assets/images/movies/the_kid_1921/large-cover.jpg	The Tramp cares for an abandoned child, but events put that relationship in jeopardy.
tt0040522	Bicycle Thieves	Drama	1h 29min	No	https://img.yts.lt/assets/images/movies/bicycle_thieves_1948/large-cover.jpg	In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it.
tt0056172	Lawrence of Arabia	Adventure, Biography, Drama, History, War	3h 36min	No	https://img.yts.lt/assets/images/movies/lawrence_of_arabia_1962/large-cover.jpg	The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.
tt0045152	Singin' in the Rain	Comedy, Musical, Romance	1h 43min	No	https://img.yts.lt/assets/images/movies/singin_in_the_rain_1952/large-cover.jpg	A silent film production company and cast make a difficult transition to sound.
tt0086250	Scarface	Crime, Drama	2h 50min	No	https://img.yts.lt/assets/images/movies/scarface_1983/large-cover.jpg	In Miami in 1980, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.
tt0435761	Toy Story 3	Animation, Adventure, Comedy, Family, Fantasy	1h 43min	No	https://img.yts.lt/assets/images/movies/toy_story_3_2010/large-cover.jpg	The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.
tt0075314	Taxi Driver	Crime, Drama	1h 54min	No	https://img.yts.lt/assets/images/movies/taxi_driver_1976/large-cover.jpg	A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.
tt0070735	The Sting	Comedy, Crime, Drama	2h 9min	No	https://img.yts.lt/assets/images/movies/the_sting_1973/large-cover.jpg	Two grifters team up to pull off the ultimate con.
tt0059578	For a Few Dollars More	Western	2h 12min	Yes	https://img.yts.lt/assets/images/movies/for_a_few_dollars_more_1965/large-cover.jpg	Two bounty hunters with the same intentions team up to track down a Western outlaw.
tt0017136	Metropolis	Drama, Sci-Fi	2h 33min	No	https://img.yts.lt/assets/images/movies/metropolis_1927/large-cover.jpg	In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.
tt0036775	Double Indemnity	Crime, Drama, Film-Noir, Mystery, Thriller	1h 47min	No	https://img.yts.lt/assets/images/movies/double_indemnity_1944/large-cover.jpg	An insurance representative lets himself be talked into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.
tt0056592	To Kill a Mockingbird	Crime, Drama	2h 9min	No	https://img.yts.lt/assets/images/movies/to_kill_a_mockingbird_1962/large-cover.jpg	Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.
tt1832382	A Separation	Drama, Thriller	2h 3min	No	https://img.yts.lt/assets/images/movies/a_separation_2011/large-cover.jpg	A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
tt0044741	Ikiru	Drama	2h 23min	No	https://img.yts.lt/assets/images/movies/ikiru_1952/large-cover.jpg	A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.
tt0097576	Indiana Jones and the Last Crusade	Action, Adventure	2h 7min	No	https://img.yts.lt/assets/images/movies/indiana_jones_and_the_last_crusade_1989/large-cover.jpg	In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry "Indiana" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.
tt0053604	The Apartment	Comedy, Drama, Romance	2h 5min	No	https://img.yts.lt/assets/images/movies/the_apartment_1960/large-cover.jpg	A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.
tt0119488	L.A. Confidential	Crime, Drama, Mystery, Thriller	2h 18min	No	https://img.yts.lt/assets/images/movies/la_confidential_1997/large-cover.jpg	As corruption grows in 1950s Los Angeles, three policemen -- one strait-laced, one brutal, and one sleazy -- investigate a series of murders with their own brand of justice.
tt0071853	Monty Python and the Holy Grail	Adventure, Comedy, Fantasy	1h 31min	No	https://img.yts.lt/assets/images/movies/monty_python_and_the_holy_grail_1975/large-cover.jpg	King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.
tt1049413	Up	Animation, Adventure, Comedy, Family	1h 36min	No	https://img.yts.lt/assets/images/movies/up_2009/large-cover.jpg	Seventy-eight year old Carl Fredricksen travels to Paradise Falls in his home equipped with balloons, inadvertently taking a young stowaway.
tt1255953	Incendies	Drama, Mystery, War	2h 11min	Yes	https://img.yts.lt/assets/images/movies/incendies_2010/large-cover.jpg	Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
tt0113277	Heat	Crime, Drama, Thriller	2h 50min	Yes	https://img.yts.lt/assets/images/movies/heat_1995/large-cover.jpg	A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.
tt0042876	Rashomon	Crime, Drama, Mystery	1h 28min	No	https://img.yts.lt/assets/images/movies/rashomon_1950/large-cover.jpg	The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.
tt0055630	Yojimbo	Action, Comedy, Crime, Drama, Thriller	1h 50min	No	https://img.yts.lt/assets/images/movies/yojimbo_1961/large-cover.jpg	A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.
tt0372784	Batman Begins	Action, Adventure	2h 20min	No	https://img.yts.lt/assets/images/movies/batman_begins_2005/large-cover.jpg	After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.
tt0095016	Die Hard	Action, Thriller	2h 12min	No	https://img.yts.lt/assets/images/movies/die_hard_1988/large-cover.jpg	An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.
tt6966692	Green Book	Biography, Comedy, Drama, Music	2h 10min	No	https://img.yts.lt/assets/images/movies/green_book_2018/large-cover.jpg	A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.
tt0105695	Unforgiven	Drama, Western	2h 10min	Yes	https://img.yts.lt/assets/images/movies/unforgiven_1992/large-cover.jpg	Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner and a young man.
tt0363163	Downfall	Biography, Drama, History, War	2h 36min	No	https://img.yts.lt/assets/images/movies/downfall_2004/large-cover.jpg	Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.
tt0118849	Children of Heaven	Drama, Family	1h 29min	No	https://img.yts.lt/assets/images/movies/children_of_heaven_1997/large-cover.jpg	After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to "win" a new pair.
tt0053291	Some Like It Hot	Comedy, Music, Romance	2h 1min	No	https://img.yts.lt/assets/images/movies/some_like_it_hot_1959/large-cover.jpg	When two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.
tt0347149	Howl's Moving Castle	Animation, Adventure, Family, Fantasy	1h 59min	No	https://img.yts.lt/assets/images/movies/howls_moving_castle_2004/large-cover.jpg	When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.
tt0057115	The Great Escape	Adventure, Drama, History, Thriller, War	2h 52min	No	https://img.yts.lt/assets/images/movies/the_great_escape_1963/large-cover.jpg	Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.
tt0096283	My Neighbor Totoro	Animation, Family, Fantasy	1h 26min	No	https://img.yts.lt/assets/images/movies/my_neighbor_totoro_1988/large-cover.jpg	When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.
tt0042192	All About Eve	Drama	2h 18min	No	https://img.yts.lt/assets/images/movies/all_about_eve_1950/large-cover.jpg	An ingénue insinuates herself into the lives of an established but aging stage actress and her circle of theater friends.
tt0089881	Ran	Action, Drama	2h 42min	No	https://img.yts.lt/assets/images/movies/ran_1985/large-cover.jpg	In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.
tt0268978	A Beautiful Mind	Biography, Drama	2h 15min	No	https://img.yts.lt/assets/images/movies/a_beautiful_mind_2001/large-cover.jpg	After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.
tt0457430	Pan's Labyrinth	Drama, Fantasy, War	1h 58min	Yes	https://img.yts.lt/assets/images/movies/pans_labyrinth_2006/large-cover.jpg	In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.
tt0081398	Raging Bull	Biography, Drama, Sport	2h 9min	No	https://img.yts.lt/assets/images/movies/raging_bull_1980/large-cover.jpg	The life of boxer Jake LaMotta, whose violence and temper that lead him to the top in the ring destroyed his life outside of it.
tt1305806	The Secret in Their Eyes	Drama, Mystery, Romance, Thriller	2h 9min	Yes	https://img.yts.lt/assets/images/movies/the_secret_in_their_eyes_2009/large-cover.jpg	A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.
tt0112641	Casino	Crime, Drama	2h 58min	Yes	https://img.yts.lt/assets/images/movies/casino_1995/large-cover.jpg	A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire, and over a fast living and fast loving socialite.
tt0120735	Lock, Stock and Two Smoking Barrels	Comedy, Crime	1h 47min	Yes	https://img.yts.lt/assets/images/movies/lock_stock_and_two_smoking_barrels_1998/large-cover.jpg	A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns.
tt0476735	My Father and My Son	Drama, Family	1h 48min	No	https://img.yts.lt/assets/images/movies/my_father_and_my_son_2005/large-cover.jpg	The family of a left-wing journalist is torn apart after a military coup in 1980's Turkey.
tt0091251	Come and See	Drama, War	2h 22min	No	https://img.yts.lt/assets/images/movies/come_and_see_1985/large-cover.jpg	After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.
tt0040897	The Treasure of the Sierra Madre	Adventure, Drama, Western	2h 6min	No	https://img.yts.lt/assets/images/movies/the_treasure_of_the_sierra_madre_1948/large-cover.jpg	Fred Dobbs and Bob Curtin, two Americans searching for work in Mexico, convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
tt0055031	Judgment at Nuremberg	Drama, War	3h 6min	No	https://img.yts.lt/assets/images/movies/judgment_at_nuremberg_1961/large-cover.jpg	In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.
